"votenum","vote1","vote2","vote3","vote4","vote5","fptpvote","userid"
1,4,3,2,5,1,1,1377
2,1,4,5,2,3,3,9638
3,4,2,3,5,1,1,8398
4,2,3,1,4,5,5,2436
5,1,1,2,5,3,4,1128
6,2,4,3,5,1,2,5600
7,2,3,4,2,1,5,3357
8,2,4,3,5,1,2,6619
9,2,4,2,1,5,3,1280
10,2,3,4,1,5,2,7888
11,2,3,1,5,2,4,7192
12,2,2,4,1,3,5,782
13,3,2,5,3,1,4,9102
14,3,4,3,1,2,5,4228
15,3,3,4,1,2,4,5891
16,3,1,4,3,5,4,8760
17,3,2,3,1,4,3,7756
18,3,4,5,1,2,5,1438
19,1,3,4,5,2,4,520
20,4,1,5,4,3,5,3998
21,1,5,3,1,4,3,7993
22,5,1,2,4,5,2,1370
23,5,3,1,5,2,1,2948
24,5,2,1,5,3,1,7630
25,5,2,5,4,1,5,7741
26,5,1,4,2,3,4,1236
27,5,2,1,3,4,1,6374
28,5,3,5,1,4,5,7973
29,5,4,2,5,3,2,2735
30,5,2,1,5,4,1,4362
